,Artist,Song,Capo,Memorized,Notes,Recording,Chords,Key
,Lucinda Williams,Big Red Sun Blues,,,,,BIG RED SUN BLUES CHORDS by Lucinda Williams @ Ultimate-Guitar.Com,
,Marcy Playground,Sex And Candy,c2,,bumped up from c0,,SEX AND CANDY CHORDS by Marcy Playground @ Ultimate-Guitar.Com,
,Melanie,Brand New Key,,,,,BRAND NEW KEY CHORDS (ver 2) by Melanie @ Ultimate-Guitar.Com,
,Melanie,Nickel Man,,,,,,
,Melanie,Someday I'll Be A Farmer,,,,,SOMEDAY ILL BE A FARMER CHORDS by Melanie @ Ultimate-Guitar.Com,
,Metallica,Enter Sandman,,,,,ENTER SANDMAN CHORDS by Metallica @ Ultimate-Guitar.Com,
,Mike + Ruthy,Simple and Sober,,,,,,
,Molly Drake,I Remember,,,,okay,I REMEMBER CHORDS by Molly Drake @ Ultimate-Guitar.Com,
,"Mountain Goats, The ",No Children,,,,,,
,Nancy Sinatra,Boots Are Made For Walkin',,,,,,
,Neutral Milk Hotel,In The Aeroplane Over The Sea,,,,,IN THE AEROPLANE OVER THE SEA CHORDS by Neutral Milk Hotel @ Ultimate-Guitar.Com,
,Neutral Milk Hotel,Oh Comely,,,,,OH COMELY CHORDS by Neutral Milk Hotel @ Ultimate-Guitar.Com,
,Nirvana,Dumb,,,,,DUMB ACOUSTIC CHORDS by Nirvana @ Ultimate-Guitar.Com,
,Nirvana,Where Did You Sleep Last Night,,,,,,
,No Doubt,Don't Speak,,,,,,
,No Doubt,Simple Kind of Life,,,,,SIMPLE KIND OF LIFE CHORDS by No Doubt @ Ultimate-Guitar.Com,
,Norah Jones,Don't Know Why,,,,,DONT KNOW WHY CHORDS (ver 3) by Norah Jones @ Ultimate-Guitar.Com,
,Oasis,Wonderwall,,,,,WONDERWALL CHORDS (ver 2) by Oasis @ Ultimate-Guitar.Com,
,Patsy Cline,Crazy,,,,,CRAZY CHORDS (ver 2) by Patsy Cline @ Ultimate-Guitar.Com,
,Pearl Jam,Black,,,,,BLACK CHORDS (ver 2) by Pearl Jam @ Ultimate-Guitar.Com,
,Pearl Jam,Jeremy,,,,,,
,Pearl Jam,Yellow Ledbetter,,,,,YELLOW LEDBETTER CHORDS by Pearl Jam @ Ultimate-Guitar.Com,
,Peggy Lee,Fever,,,,,,
,Peggy Lee,It's a Good Day,,,,,,
,Pinegrove,Darkness,c1,,,https://drive.google.com/file/d/19fh40YOZBWykyihIiQ9ti9FIrYnbOOiv/view?usp=sharing,DARKNESS CHORDS by Pinegrove @ Ultimate-Guitar.Com,
,Pink Floyd,Wish You Were Here,,,,,WISH YOU WERE HERE CHORDS by Pink Floyd @ Ultimate-Guitar.Com,
,Pocahauntus,Colors of the Wind,,,,,,
,Queens of the Stoneage,Lullaby (where oh where have you been my love),,,,,,
,"Raconteurs, The ",Steady As She Goes,,,,,STEADY AS SHE GOES CHORDS by The Raconteurs @ Ultimate-Guitar.Com,
,Regina Spektor,Better,,,,pofc,BETTER CHORDS by Regina Spektor @ Ultimate-Guitar.Com,
,Regina Spektor,Fidelity,,,,,,
,Regina Spektor,Hotel Song,,,,,https://tabs.ultimate-guitar.com/tab/regina-spektor/hotel-song-chords-1406376,
,Regina Spektor,Ne Me Quitte Pas (I love paris in the rain),,,,,DONT LEAVE ME NE ME QUITTE PAS CHORDS (ver 2) by Regina Spektor @ Ultimate-Guitar.Com,
,Regina Spektor,On The Radio,,,,,ON THE RADIO CHORDS by Regina Spektor @ Ultimate-Guitar.Com,
,Regina Spektor,Poor Little Rich Boy,,,,,POOR LITTLE RICH BOY CHORDS (ver 2) by Regina Spektor @ Ultimate-Guitar.Com,
,Regina Spektor,Samson,,,,,SAMSON CHORDS (ver 3) by Regina Spektor @ Ultimate-Guitar.Com,
,REM,End of the World,,,,,,
,Ricochet,Daddy's Money (she's got her...),,,Have to learn the rest of the song melody,,,
,Rod Stewart,Maggie May,,,,,,
,Sarh McLachlan,Angel,,,,,ANGEL CHORDS (ver 7) by Sarah McLachlan @ Ultimate-Guitar.Com,
,Sarah Vaughan,Whatever Lola Wants,,,,,,
,Sheryl Crow,If It Makes You Happy,,,,,IF IT MAKES YOU HAPPY CHORDS by Sheryl Crow @ Ultimate-Guitar.Com,
,Sheryl Crow,Soak Up The Sun,,,,,SOAK UP THE SUN CHORDS (ver 2) by Sheryl Crow @ Ultimate-Guitar.Com,
,"Shins,  The",New Slang,,,,,NEW SLANG CHORDS by The Shins @ Ultimate-Guitar.Com,
,"Shins,  The",Young Pilgrims,,,,,https://tabs.ultimate-guitar.com/tab/the-shins/young-pilgrims-chords-139124,
,Sister Hazel,All For You,,,,,ALL FOR YOU CHORDS by Sister Hazel @ Ultimate-Guitar.Com,
,Skeeter Davis,End of the World,,,,,,
,Smashing Pumpkins,Bullet With Butterfly Wings,,,,,BULLET WITH BUTTERFLY WINGS CHORDS (ver 2) by The Smashing Pumpkins @ Ultimate-Guitar.Com,
,Sound Garden,Black Hole Sun,,,,,BLACK HOLE SUN CHORDS (ver 4) by Soundgarden @ Ultimate-Guitar.Com,
,Sound Garden,Burden In My Hand,,,,:20 snippet pofc,BURDEN IN MY HAND CHORDS by Soundgarden @ Ultimate-Guitar.Com,
,Stealers Wheel,Stuck In The Middle With You,,,,,STUCK IN THE MIDDLE WITH YOU CHORDS (ver 3) by Stealers Wheel @ Ultimate-Guitar.Com,
,Steve Miller Band,Dance Dance Dance,,,,,,
,Steve Miller Band,Fly Like An Eagle,,,,,FLY LIKE AN EAGLE CHORDS by Steve Miller Band @ Ultimate-Guitar.Com,
,Steve Miller Band,Jet Airliner,,,,,JET AIRLINER CHORDS by Steve Miller Band @ Ultimate-Guitar.Com,
,Steve Miller Band,Space Cowboy,,,,,SPACE COWBOY CHORDS by Steve Miller Band @ Ultimate-Guitar.Com,
,Steve Miller Band,Take The Money And Run,,,,,TAKE THE MONEY AND RUN CHORDS by Steve Miller Band @ Ultimate-Guitar.Com,
,Stone Temple Pilots,Big Empty,,,,,BIG EMPTY CHORDS (ver 2) by Stone Temple Pilots @ Ultimate-Guitar.Com,
,Stone Temple Pilots,Vasoline,,,,,VASOLINE CHORDS by Stone Temple Pilots @ Ultimate-Guitar.Com,
,Sublime,Santeria,c5,,,,SANTERIA CHORDS by Sublime @ Ultimate-Guitar.Com,
,Sugar Ray,Someday,,,,,SOMEDAY CHORDS (ver 2) by Sugar Ray @ Ultimate-Guitar.Com,
,Sylvan Esso,Coffee,,,,,,
,Sylvan Esso,Hey Mami,,,,,,
,Sylvan Esso,Uncatena,,,did you ever say oh no,,UNCATENA CHORDS by Sylvan Esso @ Ultimate-Guitar.Com,
,Temple of the Dog,Hunger Strike,,,,,HUNGER STRIKE CHORDS by Temple of the Dog @ Ultimate-Guitar.Com,
,Third Eye Blind,How's It Gonna Be,,,,,HOWS IT GOING TO BE CHORDS by Third Eye Blind @ Ultimate-Guitar.Com,
,Third Eye Blind,Jumper,,,,,JUMPER CHORDS (ver 5) by Third Eye Blind @ Ultimate-Guitar.Com,
,Third Eye Blind,Semi-Charmed Life,,,,,SEMI-CHARMED LIFE CHORDS by Third Eye Blind @ Ultimate-Guitar.Com,
,Tom Petty,Won't Back Down,,,,,I WONT BACK DOWN CHORDS by Tom Petty @ Ultimate-Guitar.Com,
,Tonic,If You Could Only See (the way she loves me),,,,,IF YOU COULD ONLY SEE CHORDS by Tonic @ Ultimate-Guitar.Com,
,Tracy Champan,Give Me One Reason,,,,,,
,Violent Femmes,Blister In The Sun,,,"too simple and repetative, not good for performing",,,
,Violent Femmes,Kiss Off,,,need chords for the counting part,,KISS OFF CHORDS (ver 2) by Violent Femmes @ Ultimate-Guitar.Com,
,"Wallflowers, The",One Headlight,,,,,ONE HEADLIGHT CHORDS (ver 4) by The Wallflowers @ Ultimate-Guitar.Com,
,"Wizard of Oz, The",Somewhere Over The Rainbow,,,,,THE WIZARD OF OZ - SOMEWHERE OVER THE RAINBOW CHORDS (ver 2) by Misc Soundtrack/Judy Garland @ Ultimate-Guitar.Com,
,"White Stripes, The",We're Going To Be Friends,,,Original arrangement,,,
,"Whites, The",Keep On The Sunny Side,,,,,,
,Yeah Yeah Yeahs,Let Me Know,,,,,https://tabs.ultimate-guitar.com/tab/yeah-yeah-yeahs/let-me-know-chords-673134,
,Yeah Yeah Yeahs,Maps,,,,,MAPS CHORDS (ver 3) by Yeah Yeah Yeahs @ Ultimate-Guitar.Com,
,Yeah Yeah Yeahs,Gold Lion,,,,,GOLD LION CHORDS (ver 2) by Yeah Yeah Yeahs @ Ultimate-Guitar.Com,
,Zero 7,In The Waiting Line,,,,,IN THE WAITING LINE CHORDS by Zero 7 @ Ultimate-Guitar.Com,
